timestamp,metric_type,latency_ms,id
1763391217,image_processing_latency,171.06914520263672,risk_1
1763391218,image_processing_latency,126.18637084960938,risk_2
1763391219,image_processing_latency,125.63848495483398,risk_3
1763391220,image_processing_latency,140.77186584472656,risk_4
1763391221,image_processing_latency,136.55376434326172,risk_5
1763391222,image_processing_latency,106.12893104553223,risk_6
1763391223,image_processing_latency,126.7244815826416,risk_7
1763391224,image_processing_latency,108.44206809997559,risk_8
1763391225,image_processing_latency,106.25672340393066,risk_9
1763391226,image_processing_latency,135.23244857788086,risk_10
1763391227,image_processing_latency,135.08057594299316,risk_11
1763391228,image_processing_latency,134.7196102142334,risk_12
1763391229,image_processing_latency,133.1796646118164,risk_13
1763391230,image_processing_latency,133.23068618774414,risk_14
1763391231,image_processing_latency,133.78596305847168,risk_15
1763391232,image_processing_latency,133.7909698486328,risk_16
1763391233,image_processing_latency,135.08868217468262,risk_17
1763391234,image_processing_latency,133.44693183898926,risk_18
1763391235,image_processing_latency,133.79931449890137,risk_19
1763391236,image_processing_latency,131.04510307312012,risk_20
1763391237,image_processing_latency,104.12240028381348,risk_21
1763391238,image_processing_latency,122.91574478149414,risk_22
1763391239,image_processing_latency,122.70832061767578,risk_23
1763391240,image_processing_latency,104.55965995788574,risk_24
1763391241,image_processing_latency,132.17401504516602,risk_25
1763391242,image_processing_latency,138.72528076171875,risk_26
1763391243,image_processing_latency,138.7655735015869,risk_27
1763391244,image_processing_latency,138.61656188964844,risk_28
1763391245,image_processing_latency,141.6492462158203,risk_29
1763391246,image_processing_latency,133.19945335388184,risk_30
1763391247,image_processing_latency,139.4338607788086,risk_31
1763391248,image_processing_latency,139.74452018737793,risk_32
1763391249,image_processing_latency,138.6873722076416,risk_33
1763391250,image_processing_latency,139.05978202819824,risk_34
1763391251,image_processing_latency,138.688325881958,risk_35
1763391252,image_processing_latency,104.59089279174805,risk_36
1763391253,image_processing_latency,129.9746036529541,risk_37
1763391254,image_processing_latency,138.6401653289795,risk_38
1763391255,image_processing_latency,106.42576217651367,risk_39
1763391256,image_processing_latency,129.66084480285645,risk_40
1763391257,image_processing_latency,130.45406341552734,risk_41
1763391258,image_processing_latency,141.68810844421387,risk_42
1763391259,image_processing_latency,140.8824920654297,risk_43
1763391260,image_processing_latency,138.90600204467773,risk_44
1763391261,image_processing_latency,141.38007164001465,risk_45
1763391262,image_processing_latency,138.28086853027344,risk_46
1763391263,image_processing_latency,139.68157768249512,risk_47
1763391264,image_processing_latency,142.07100868225098,risk_48
1763391265,image_processing_latency,140.8548355102539,risk_49
1763391265,yolo_latency,612.1623516082764,yolo_1
1763391266,image_processing_latency,138.57316970825195,risk_50
1763391267,image_processing_latency,105.40199279785156,risk_51
