phase,timestamp,note
INFO,1758635681528,Pod initially scheduled to acnode10.e4red
2a,1758635681691,kubelet/containerd stopped locally on acnode10.e4red
3a,1758636018544,New pod test-app-5cbcc7d5f4-49jr7 scheduled on acnode11.e4red
3b,1758636020803,New pod entered Running phase on acnode11.e4red
3c,1758636020879,New pod became Ready on acnode11.e4red
